,City,Country,Temperature (F),Latitude,Longitude,Humidity (%),Cloudiness (%),Wind Speed (mph)
45,Palafrugell,ES,68,41.92,3.16,100,75,9.17
46,Bluff,AU,63.22,-23.58,149.07,100,80,7.18
47,Suwannaphum,TH,73.57,15.61,103.81,90,20,5.06
48,Avarua,CK,77,-21.21,-159.78,73,75,16.11
49,Chuy,UY,59.35,-33.69,-53.46,84,0,16.58
50,Victoria,BN,77,5.28,115.24,94,75,4.7
51,Leh,IN,-7.43,34.16,77.58,64,8,0.58
52,Panguna,PG,76.09,-6.32,155.48,95,32,4.05
53,Corovode,AL,44.77,40.5,20.23,82,0,1.92
54,Itapirapua,BR,89.14,-15.82,-50.61,46,44,3.71
55,Thompson,CA,33.8,55.74,-97.86,69,75,14.99
56,Ambilobe,MG,74.02,-13.19,49.05,73,0,12.88
57,Ponta Delgada,PT,59,37.73,-25.67,67,20,5.82
58,Upernavik,GL,27.22,72.79,-56.15,100,76,3.38
59,Hambantota,LK,78.16,6.12,81.12,100,56,6.85
60,Rio Gallegos,AR,57.2,-51.62,-69.22,30,40,24.16
61,Biak,ID,74.74,-0.91,122.88,100,12,3.15
62,Hithadhoo,MV,84.28,-0.6,73.08,100,88,2.82
63,Albany,US,49.77,42.65,-73.75,73,90,5.82
64,Iqaluit,CA,28.4,63.75,-68.52,74,75,4.7
65,Rikitea,PF,71.5,-23.12,-134.97,100,100,14.56
66,Cockburn Town,TC,82.84,21.46,-71.14,100,80,11.21
67,Port Alfred,ZA,63.85,-33.59,26.89,88,8,20.83
68,Kruisfontein,ZA,63.04,-34,24.73,83,0,24.07
69,Mahon,IE,48.2,51.89,-8.4,87,75,10.29
70,Whitianga,NZ,54.85,-36.83,175.7,100,0,11.32
71,Port-Gentil,GA,78.8,-0.72,8.78,88,40,6.93
72,Puerto Ayora,EC,78.8,-0.74,-90.35,57,0,19.46
73,Mar del Plata,AR,59.08,-46.43,-67.52,45,76,25.41
74,Lazaro Cardenas,MX,78.8,28.39,-105.62,22,5,4.7
75,Longyearbyen,NO,37.4,78.22,15.63,74,75,40.26
76,Saint George,GR,57.2,39.45,22.34,87,20,4.7
77,Salcedo,DO,87.8,19.38,-70.42,62,40,16.11
78,Quballat,TN,68,36.54,9.66,82,40,6.93
79,Jamestown,AU,65.38,-33.21,138.6,47,80,15.23
80,Khatanga,RU,26.32,71.98,102.47,87,0,8.19
81,Sinnamary,GF,83.2,5.38,-52.96,89,0,9.86
82,Tuatapere,NZ,44.77,-46.13,167.69,100,76,9.31
83,Opuwo,NA,63.85,-18.06,13.84,37,12,5.5
84,Luxor,EG,77,25.7,32.65,38,0,2.24
85,North Myrtle Beach,US,76.01,33.83,-78.68,45,1,5.82
86,Kaitangata,NZ,43.87,-46.28,169.85,84,68,13.67
87,New Norfolk,AU,48.2,-42.78,147.06,81,40,8.05
88,Nadym,RU,29.11,65.53,72.51,92,88,6.51
89,Saldanha,PT,67,41.42,-6.55,58,100,9.75
90,Barreiros,BR,77.98,-8.82,-35.18,79,76,10.54
91,Tazovskiy,RU,21.73,67.47,78.7,85,76,6.17
92,Iranshahr,IR,80.6,27.21,60.69,14,0,9.17
93,Itarema,BR,84.73,-2.92,-39.92,60,0,17.25
94,Lubon,PH,64.57,17.03,120.81,89,0,2.71
95,Weihai,CN,63.85,37.5,122.11,100,0,10.98
96,Berdigestyakh,RU,26.14,62.1,126.7,80,76,6.62
97,Qaanaaq,GL,9.49,77.48,-69.36,100,48,10.87
98,Mangrol,IN,66.19,25.33,76.51,70,0,2.71
99,Owensboro,US,51.62,37.77,-87.11,62,1,4.7
100,Taldan,RU,31.9,53.69,124.82,73,12,7.63
101,Yar-Sale,RU,27.04,66.83,70.83,100,88,4.72
102,Broken Hill,AU,62.95,-31.97,141.45,66,12,17.81
103,Ribeira Grande,PT,66.2,38.52,-28.7,55,20,11.41
104,Waipawa,NZ,53.95,-39.94,176.59,70,0,9.64
105,Mehamn,NO,42.07,71.03,27.85,95,88,6.06
106,Ixtapa,MX,86,20.71,-105.21,70,20,11.41
107,Anloga,GH,80.6,5.79,0.9,88,75,8.05
108,Grants,US,62.96,35.15,-107.85,38,90,10.29
109,Neka,IR,50.71,36.65,53.3,100,36,1.7
110,Horsham,AU,62.77,-36.71,142.2,70,64,16.46
111,George Town,MY,77,5.42,100.33,94,75,3.36
112,Fairbanks,US,36.32,64.84,-147.72,92,90,13.56
113,Hamilton,CA,49.28,43.26,-79.87,100,75,13.87
114,Riyadh,SA,80.6,24.63,46.72,19,0,2.24
115,Port Elizabeth,US,57.88,39.31,-74.98,55,75,11.41
116,Ardakan,IR,64.4,32.31,54.02,39,40,6.93
117,Tasiilaq,GL,32,65.61,-37.64,100,20,2.24
118,Sur,OM,79.6,22.57,59.53,98,0,2.04
119,Trincomalee,LK,72.49,8.58,81.23,99,92,7.07
120,Kapaa,US,82.62,22.08,-159.32,69,1,10.29
121,Nipawin,CA,28.4,53.36,-104.02,86,90,20.8
122,Bilma,NE,75.82,18.69,12.92,23,0,7.63
123,Los Llanos de Aridane,ES,77,28.66,-17.92,78,64,3.36
124,Bull Savanna,JM,79.33,17.89,-77.59,77,88,7.52
125,Salinopolis,BR,81.85,-0.61,-47.36,93,0,12.44
126,Whitehorse,CA,44.6,60.72,-135.06,65,90,19.46
127,Norman Wells,CA,30.2,65.28,-126.83,86,75,3.36
128,Rossland,CA,57.2,49.08,-117.8,28,20,6.93
129,Lata,IN,41.98,30.78,78.62,65,0,2.71
130,Kamaishi,JP,52.33,39.28,141.86,89,92,6.06
131,Nantucket,US,50.61,41.28,-70.1,76,90,13.87
132,Roros,NO,60.8,62.57,11.38,82,100,25.28
133,Codrington,AU,59.35,-28.95,153.24,100,92,6.62
134,Nikolskoye,RU,55.4,59.7,30.79,87,20,4.47
135,Dikson,RU,35.05,73.51,80.55,100,92,14.12
136,Esperance,TT,91.4,10.24,-61.45,52,20,9.17
137,Cedar Mill,US,64.96,45.52,-122.81,40,1,9.17
138,East London,ZA,65.02,-33.02,27.91,100,12,18.14
139,Preobrazheniye,RU,25.33,42.9,133.91,78,0,1.59
140,Provideniya,RU,43.78,64.42,-173.23,100,56,21.5
141,San Cristobal,EC,66.2,-0.39,-78.55,45,75,6.93
142,Majene,ID,81.22,-3.54,118.97,100,76,3.04
143,Mackay,CA,38.3,53.65,-115.58,69,90,14.99
144,Rio Grande,BR,64.4,-32.03,-52.1,77,75,11.41
145,Yeppoon,AU,66.2,-23.13,150.74,88,90,8.05
146,Faanui,PF,79.6,-16.48,-151.75,100,48,19.04
147,Mecca,SA,76.27,21.43,39.83,55,36,3.71
148,Dzerzhinskoye,RU,38.2,56.84,95.22,75,0,5.28
149,Moranbah,AU,63.22,-22,148.04,96,88,7.74
150,Bafq,IR,54.67,31.6,55.4,70,44,3.94
151,Medicine Hat,CA,32,50.04,-110.68,66,75,16.11
152,Guerrero Negro,MX,67.09,27.97,-114.04,100,12,9.98
153,Talnakh,RU,32.8,69.49,88.39,96,92,2.71
154,Arraial do Cabo,BR,84.2,-22.97,-42.02,66,0,13.87
155,Malanje,AO,69.52,-9.54,16.35,82,44,6.4
156,Inhambane,MZ,73.12,-23.87,35.38,95,88,12.44
157,Itabera,BR,72.94,-23.86,-49.14,93,44,5.39
158,Poum,MK,45.4,41.28,20.71,89,64,1.25
159,Inta,RU,33.88,66.04,60.13,93,92,7.74
160,Pevek,RU,30.73,69.7,170.27,100,76,9.19
161,Sulangan,PH,81.49,11.14,123.72,100,36,1.81
162,Langxiang,CN,44.77,46.95,128.87,74,24,4.72
163,Promyshlennaya,RU,41,54.92,85.64,82,40,11.18
164,Lagoa,PT,71.6,37.14,-8.45,94,75,11.41
165,Cayenne,GF,86,4.94,-52.33,70,0,11.41
166,Garissa,KE,77.17,-0.46,39.64,65,0,13.67
167,Hasaki,JP,56.21,35.73,140.83,93,75,8.05
168,Chahal,GT,86.26,15.75,-89.57,69,8,2.04
169,Charyshskoye,RU,40.9,51.4,83.56,57,20,13.22
170,Egvekinot,RU,32.62,66.32,-179.17,79,80,10.31
171,Newport,GB,62.02,51.59,-3,93,75,10.29
172,Bandarban,BD,72.58,22.2,92.22,95,92,3.94
173,Salinas,US,71.58,36.67,-121.66,65,1,9.17
174,Sambava,MG,75.1,-14.27,50.17,100,88,13.78
175,Pisco,PE,71.6,-13.71,-76.2,30,75,27.51
176,Buala,SB,81.31,-8.15,159.59,93,88,9.98
177,Asosa,ET,65.47,10.07,34.53,93,36,2.59
178,Bubaque,GW,82.4,11.28,-15.83,78,0,5.82
179,Cabot,US,56.91,34.97,-92.02,100,75,8.05
180,Hualmay,PE,67.72,-11.1,-77.61,74,92,7.18
181,Cascavel,BR,73.3,-24.96,-53.44,87,92,7.18
182,Nioro,GM,82.3,13.79,-15.05,67,0,4.38
183,Kahului,US,74.28,20.89,-156.47,90,75,13.87
184,Te Anau,NZ,38.38,-45.41,167.72,99,88,1.7
185,Mitsamiouli,KM,77,-11.38,43.28,73,20,6.93
186,Narsaq,GL,32,60.91,-46.05,71,0,0.36
187,Touho,NC,69.97,-20.78,165.23,83,100,9.08
188,Novyy Svit,UA,43.33,47.81,38.02,77,0,4.5
189,Orange Cove,US,78.64,36.62,-119.31,32,1,4.16
190,San Quintin,PH,69.16,17.54,120.52,82,0,4.61
191,Muzhi,RU,32.62,65.4,64.7,98,88,9.64
192,Vienna,AT,59.5,48.21,16.37,67,0,6.93
193,Sistranda,NO,50,63.73,8.83,93,75,8.05
194,Alofi,NU,80.6,-19.06,-169.92,83,75,11.41
195,Atar,MR,88.06,20.52,-13.05,20,92,5.39
196,Saint-Augustin,FR,70.61,44.83,-0.61,73,0,13.87
197,Najran,SA,73.4,17.54,44.22,38,0,4.7
198,Oron,NG,76.63,4.81,8.23,99,92,1.92
199,Pimenta Bueno,BR,82.57,-11.68,-61.19,78,24,2.71
200,Kodiak,US,57.02,39.95,-94.76,66,40,9.17
201,Coihaique,CL,50.79,-45.58,-72.07,57,75,4.7
202,Irbeyskoye,RU,32.62,55.64,95.45,68,0,4.38
203,Macapsing,PH,73.3,15.68,121.13,96,68,2.15
204,San Carlos,VE,85.18,9.66,-68.59,72,56,4.16
205,Colwyn Bay,GB,60.57,53.29,-3.71,77,40,19.46
206,Novyy Kostek,RU,41.44,43.33,46.83,87,0,1.36
207,Zakamensk,RU,19.48,50.38,103.29,65,0,2.48
208,Petropavlovsk-Kamchatskiy,RU,37.4,53.05,158.65,64,0,8.95
209,Bermeo,ES,74.07,43.42,-2.72,61,0,11.41
210,Yuli,NG,71.95,10.52,9.86,78,88,8.3
211,Ravar,IR,48.91,31.27,56.81,83,8,1.59
212,Aklavik,CA,25.84,68.22,-135.01,100,90,4.7
213,Severo-Kurilsk,RU,45.31,50.68,156.12,90,44,16.8
214,Airai,TL,61.15,-8.93,125.41,84,0,1.14
215,Cacador,BR,62.86,-26.78,-51.02,95,80,4.38
216,Florianopolis,BR,68,-27.6,-48.55,82,75,21.92
217,Tabora,TZ,70.87,-5.02,32.81,65,92,3.15
218,Port Augusta,AU,69.8,-32.49,137.76,52,40,8.05
219,Haines Junction,CA,42.25,60.75,-137.51,64,76,5.61
220,Ivanava,BY,45.49,52.14,25.53,88,0,2.93
221,Villamontes,BO,62.68,-21.26,-63.47,80,92,3.71
222,Bang Saphan,TH,77.53,11.21,99.51,97,44,4.38
223,Champerico,MX,89.6,16.38,-93.6,49,40,4.7
224,Ilulissat,GL,24.8,69.22,-51.1,68,75,5.82
225,Sao Borja,BR,67.72,-28.66,-56,72,24,13.33
226,Razumnoye,RU,48.2,50.53,36.69,66,0,11.18
227,Mabay,CU,89.6,20.35,-76.78,55,75,4.7
228,Ratangarh,IN,62.95,28.07,74.62,60,0,2.93
229,Umm Lajj,SA,74.38,25.02,37.27,100,0,9.53
230,Havelock,US,73.35,34.88,-76.9,46,1,9.17
231,Yingcheng,CN,57.2,30.93,113.57,93,90,4.47
232,Sisimiut,GL,22.9,66.94,-53.67,100,80,2.04
233,High Rock,BS,87.8,26.63,-78.28,66,20,8.05
234,Kavieng,PG,83.65,-2.57,150.8,100,76,9.19
235,Puerto Escondido,MX,84.2,15.86,-97.07,70,75,9.17
236,Martapura,ID,74.2,-3.41,114.85,100,24,4.38
237,Honningsvag,NO,43.42,70.98,25.97,98,68,8.97
238,Hami,CN,49.27,42.84,93.51,44,80,12.21
239,Lasa,CY,67.75,34.92,32.53,82,20,9.17
240,Devrek,TR,61.51,41.22,31.96,98,68,0.47
241,College,US,36.3,64.86,-147.8,92,90,13.56
242,Tiznit,MA,68.89,29.7,-9.73,94,20,2.37
243,Rio Claro,BR,68,-22.41,-47.56,82,75,8.05
244,Torbay,CA,44.6,47.66,-52.73,100,90,6.93
245,Tuktoyaktuk,CA,26.6,69.44,-133.03,92,90,14.99
246,Takoradi,GH,78.43,4.89,-1.75,99,80,7.74
247,Cranbrook,CA,48.2,49.51,-115.76,39,75,4.7
248,Butaritari,KI,84.1,3.07,172.79,100,24,11.43
249,Hays,US,60.98,38.88,-99.33,55,90,13.87
250,Goundam,ML,79.33,16.42,-3.66,39,0,7.18
251,Bilgoraj,PL,51.8,50.54,22.72,87,0,6.93
252,Rundu,NA,71.95,-17.91,19.77,24,48,6.06
253,Katsuura,JP,57.2,33.93,134.5,87,75,12.75
254,Gambo,NG,82.03,11.96,9.63,50,80,3.04
255,Vila Velha,BR,82.4,-3.71,-38.6,69,75,16.11
256,Henties Bay,NA,56.11,-22.12,14.28,100,0,6.29
257,Praia da Vitoria,PT,62.6,38.73,-27.07,72,20,10.54
258,Alice Springs,AU,77,-23.7,133.88,36,0,10.29
259,Faya,SA,67.12,18.39,42.45,32,0,8.05
260,Rumonge,BI,69.79,-3.97,29.44,100,76,4.83
261,Erzin,TR,68.86,36.95,36.2,73,0,2.24
262,Isangel,VU,74.2,-19.55,169.27,100,64,19.6
263,Mahalapye,BW,73.75,-23.11,26.83,51,64,18.59
264,Almaznyy,RU,40.18,48.03,40.04,81,8,4.72
265,Srednekolymsk,RU,27.13,67.46,153.71,95,92,4.94
266,Santa Maria,BR,69.8,-29.69,-53.81,68,75,8.05
267,Merced,US,80.38,37.3,-120.48,25,1,8.05
268,Pulaski,US,54.63,37.05,-80.78,60,1,3.36
269,North Bend,US,68.97,43.41,-124.22,46,1,3.36
270,Bella Union,CO,72.94,8.5,-73.35,83,92,2.26
271,Saquena,PE,82.66,-4.67,-73.52,80,48,3.38
272,Yenagoa,NG,76,4.92,6.26,91,64,4.72
273,Manavalakurichi,IN,78.8,8.13,77.3,88,75,3.36
274,Mayor Pablo Lagerenza,PY,76.18,-19.93,-60.77,61,56,8.63
275,Arlit,NE,87.34,18.74,7.39,16,100,5.06
276,Geraldton,CA,35.6,49.72,-86.95,74,40,6.93
277,Hvide Sande,DK,64.4,56.01,8.13,77,0,10.29
278,Thunder Bay,CA,41,48.41,-89.26,86,90,9.17
279,Porto Murtinho,BR,80.23,-21.7,-57.88,80,20,9.64
280,Pirogovo,RU,33.16,56.78,53.16,68,48,6.85
281,Shimoda,JP,62.68,34.7,138.93,100,92,25.75
282,Cabedelo,BR,80.6,-6.97,-34.84,69,75,14.99
283,Constitucion,MX,82.4,23.99,-104.67,18,5,4.05
284,Prieska,ZA,63.85,-29.67,22.74,66,0,13.22
285,Wahiawa,US,79.36,21.5,-158.02,90,90,9.17
286,Birjand,IR,51.8,32.86,59.22,40,0,4.7
287,Porto Nacional,BR,88.78,-10.7,-48.41,52,20,2.93
288,Saint-Lo,FR,65.26,49.12,-1.09,82,0,4.7
289,Namatanai,PG,81.49,-3.66,152.44,100,44,6.85
290,Yining,CN,54.85,29.04,114.56,100,100,2.59
291,Syracuse,US,46.99,43.05,-76.15,79,75,8.05
292,Impfondo,CD,73.48,1.62,18.06,91,0,1.36
293,Jijiga,ET,51.07,9.35,42.8,76,0,2.04
294,Marawi,PH,66.28,8,124.29,99,8,1.03
295,Eureka,US,66.34,40.8,-124.16,64,1,4.7
296,Banjar,ID,67.18,-7.37,108.54,94,76,1.7
297,Goderich,CA,48.1,43.74,-81.71,79,0,14.45
298,Uige,AO,66.82,-7.61,15.06,97,92,2.59
299,Outjo,NA,73.4,-20.11,16.16,18,0,6.93
300,Valkeala,FI,51.8,60.94,26.8,100,75,4.7
301,Nuuk,GL,28.4,64.17,-51.74,58,20,16.11
302,Nambucca Heads,AU,66.2,-30.64,152.99,77,90,17.22
303,Saiha,IN,67.63,22.49,92.98,96,92,2.26
304,Guaymas,MX,73.4,27.92,-110.9,94,90,5.06
305,Teya,MX,89.6,21.05,-89.07,55,75,4.7
306,Finschhafen,PG,73.57,-6.6,147.85,88,12,2.59
307,Shchelkun,RU,30.2,56.3,60.95,100,75,8.95
308,Ust-Shonosha,RU,37.39,61.15,41.34,98,92,6.62
309,Strezhevoy,RU,28.4,60.73,77.6,92,90,4.47
310,Denpasar,ID,77,-8.65,115.22,94,75,3.36
311,Sol-Iletsk,RU,27.31,51.16,55,74,0,7.74
312,Morgan City,US,83.08,29.7,-91.21,47,1,9.17
313,Ahipara,NZ,56.92,-35.17,173.16,75,0,10.87
314,Coquimbo,CL,59,-29.95,-71.34,54,20,12.75
315,Arman,RU,39.2,59.7,150.17,55,40,8.95
316,Quimper,FR,57.92,48,-4.1,87,90,2.24
317,Gat,SN,86.8,14.69,-16.54,48,0,13.78
318,Psebay,RU,44.41,44.12,40.81,78,0,4.94
319,Berlevag,NO,42.43,70.86,29.09,100,88,8.63
320,Saint-Joseph,FR,60.78,43.56,6.97,82,0,3.36
321,Port Hardy,CA,48.2,50.7,-127.42,87,75,5.82
322,Komsomolskiy,RU,33.88,67.55,63.78,94,88,15.68
323,Tura,IN,67.99,25.52,90.21,98,36,2.26
324,Srivardhan,IN,77.08,18.03,73.02,92,8,3.71
325,Gorom-Gorom,BF,73.21,14.45,-0.24,77,0,3.38
326,Minchinabad,PK,66.1,30.16,73.57,85,0,2.93
327,Nchelenge,ZM,69.7,-9.35,28.74,89,88,3.15
328,Port Blair,IN,82.75,11.67,92.75,100,0,6.96
329,Zarubino,RU,44.68,42.65,131.06,100,0,4.27
330,Ubinskoye,RU,25.6,55.31,79.68,89,0,6.06
331,Nichinan,JP,58.72,31.65,131.31,100,8,5.17
332,Bathsheba,BB,86,13.22,-59.52,70,20,5.82
333,Santa Cruz,US,72.21,36.97,-122.03,65,1,9.17
334,Haapiti,PF,82.4,-17.57,-149.87,69,40,3.36
335,Naze,NG,75.46,5.43,7.07,91,48,5.61
336,Ancud,CL,50.62,-41.87,-73.83,88,100,10.98
337,Erenhot,CN,32.71,43.65,111.97,79,0,11.88
338,Brae,GB,50,60.4,-1.35,93,92,6.93
339,Vardo,US,55.11,39.62,-77.74,52,40,12.75
340,Grindavik,IS,41,63.84,-22.43,93,75,12.75
341,Mogadishu,SO,79.15,2.04,45.34,99,92,14
342,Moanda,CD,74.92,-5.93,12.38,88,44,5.95
343,Siyabuswa,ZA,63.4,-25.11,29.06,72,92,9.98
344,Hofn,IS,44.68,64.25,-15.21,97,68,20.83
345,Kedrovyy,RU,35.6,56.17,91.82,80,0,2.24
346,Svetlaya,RU,49.45,46.54,138.33,100,0,6.96
347,Bandrele,YT,77,-12.91,45.19,83,0,4.7
348,Thongwa,MM,77,16.76,96.52,88,75,2.24
349,Visby,SE,55.4,57.64,18.3,82,0,12.75
350,San Andres,PH,79.15,13.32,122.68,100,48,1.14
351,Thinadhoo,MV,83.38,0.53,72.93,100,8,4.16
352,Kieta,PG,75.28,-6.22,155.63,100,76,4.72
353,Turukhansk,RU,40.9,65.8,87.96,97,92,8.97
354,Bilibino,RU,14.08,68.06,166.44,98,12,1.7
355,Coahuayana,MX,78.25,18.62,-100.35,71,44,3.04
356,Souillac,FR,68.81,45.6,-0.6,73,0,10.29
357,El Dorado,VE,82.93,6.71,-61.64,70,12,2.15
358,Marsabit,KE,71.77,2.34,37.99,77,0,3.94
359,Maitum,PH,77.62,6.06,124.5,100,68,1.92
360,Gap,FR,46.48,44.56,6.08,93,44,1.92
361,Lebu,ET,62.6,8.96,38.73,42,40,4.7
362,Sault Sainte Marie,CA,45.86,46.49,-84.36,10,1,6.93
363,Akcaabat,TR,69.8,41.02,39.57,83,75,4.7
364,Villa Carlos Paz,AR,73.4,-31.42,-64.5,33,20,12.75
365,Maceio,BR,78.8,-9.67,-35.74,74,75,16.11
366,Grand Gaube,MU,69.8,-20.01,57.66,83,20,1.12
367,Vostok,RU,26.14,46.45,135.83,74,0,2.59
368,Tulum,MX,84.2,20.21,-87.46,79,40,6.93
369,Camocim,BR,86.89,-2.9,-40.84,53,0,15.68
370,Sao Joao da Barra,BR,82.4,-21.64,-41.05,65,0,18.34
371,Peniche,PT,69.8,39.36,-9.38,77,75,18.34
372,Walvis Bay,NA,58.09,-22.95,14.51,100,0,10.31
373,Ler,NO,50.85,63.2,10.3,93,75,4.7
374,Graaff-Reinet,ZA,53.59,-32.25,24.53,77,32,3.04
375,Castro,CL,49.09,-42.48,-73.76,100,92,10.65
376,La Ronge,CA,28.4,55.1,-105.3,63,90,20.8
377,Shwebo,MM,71.77,22.57,95.7,98,92,4.83
378,Salalah,OM,77,17.01,54.1,88,75,24.16
379,Elesbao Veloso,BR,94.99,-6.2,-42.14,30,68,5.17
380,Solenzo,BF,79.87,12.18,-4.08,70,8,3.83
381,Iguape,BR,72.85,-24.7,-47.56,100,92,11.21
382,Rome,IT,63.18,41.89,12.48,59,0,4.7
383,Otradnoye,RU,55.4,59.77,30.8,87,20,4.47
384,Basoko,CD,71.95,1.23,23.61,94,44,2.59
385,Karratha,AU,67.72,-20.74,116.85,86,0,10.76
386,Mahibadhoo,MV,82.93,3.78,72.97,100,32,6.85
387,Sitka,US,57.82,37.17,-99.65,93,88,15.35
388,Avera,US,78.96,33.19,-82.53,41,1,4.7
389,Sabha,LY,71.32,27.03,14.43,42,48,9.31
390,Nalut,LY,62.05,31.86,10.98,82,44,5.28
391,Lebedinyy,RU,26.5,58.52,125.52,83,92,4.16
392,Broome,GB,68.18,52.47,1.45,77,0,13.87
393,Gwadar,PK,79.33,25.12,62.33,64,0,6.73
394,Santa Ines,EC,66.2,-0.82,-78.63,45,75,6.93
395,Gorodishche,RU,45.4,53.27,45.7,89,56,4.61
396,Miramar,CR,75.2,10.09,-84.73,78,40,11.41
397,Termez,AF,55.4,37.23,67.28,62,75,4.7
398,Busca,IT,60.8,44.52,7.47,100,0,6.93
399,Wonthaggi,AU,56.83,-38.6,145.59,79,32,4.27
400,Bashmakovo,RU,40.9,53.21,43.04,93,8,5.73
401,Hobyo,SO,77.89,5.35,48.53,88,44,15.79
402,Peace River,CA,39.2,56.23,-117.29,65,20,5.82
403,Honiara,SB,77,-9.43,159.96,94,75,4.7
404,Havre-Saint-Pierre,CA,39.2,50.23,-63.6,93,75,13.87
405,Herat,AF,55.4,34.35,62.22,84,0,2.71
406,Evensk,RU,37.12,61.92,159.24,100,80,14.34
407,Eydhafushi,MV,81.67,5.1,73.07,100,92,6.62
408,Mezhdurechensk,RU,43.78,53.69,88.07,100,92,4.72
409,Duzce,TR,57.55,40.84,31.16,100,92,2.37
410,Westport,IE,47.11,53.8,-9.52,100,88,14
411,San Patricio,PY,66.1,-26.98,-56.83,84,92,6.51
412,Port Pirie,AU,69.8,-33.18,138.01,52,40,8.05
413,Cherskiy,RU,21.82,68.75,161.3,100,76,0.69
414,Zhanaozen,KZ,39.19,43.35,52.85,82,20,4.16
415,Pochutla,MX,84.2,15.74,-96.47,70,75,9.17
416,Maun,BW,73.75,-19.99,23.42,22,24,8.63
417,Carauari,BR,91.84,-4.88,-66.9,54,12,3.6
418,Banda Aceh,ID,73.48,5.56,95.32,100,48,2.26
419,Ellisras,ZA,73.3,-23.67,27.74,48,68,18.25
420,Voineasa,RO,48.2,45.42,23.96,87,0,2.24
421,Jabinyanah,TN,68,35.03,10.91,82,40,3.36
422,Porto da Folha,BR,77.08,-9.92,-37.28,72,88,14
423,The Pas,CA,32,53.82,-101.24,95,90,24.16
424,Ocho Rios,JM,84.2,18.41,-77.1,74,40,18.34
425,Vanimo,PG,83.11,-2.67,141.3,100,32,2.59
426,Linjiang,CN,30.19,41.81,126.91,77,0,5.39
427,Lavrentiya,RU,43.78,65.58,-170.99,96,64,16.69
428,Deputatskiy,RU,4.72,69.3,139.9,74,36,3.49
429,Rocha,UY,60.43,-34.48,-54.34,64,0,8.41
430,Tautira,PF,82.4,-17.73,-149.15,69,40,3.36
431,Saint-Francois,FR,66.2,46.42,3.91,55,0,6.93
432,Fortuna,ES,70.7,38.18,-1.13,83,20,3.36
433,Selkirk,CA,35.6,50.15,-96.88,59,90,24.16
434,Husavik,CA,35.5,50.56,-96.99,97,56,17.81
